"date","geography","geography code","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"2011","Lichfield","E07000194","Total",49016,5028,9357,26922,7709,26001,1427,2183,16373,6018,23015,3601,7174,10549,1691
"2011","Newcastle-under-Lyme","E07000195","Total",57366,5591,11460,33685,6630,30259,1805,2752,20548,5154,27107,3786,8708,13137,1476
"2011","South Staffordshire","E07000196","Total",53328,5256,10625,30072,7375,28019,1458,2368,18383,5810,25309,3798,8257,11689,1565
"2011","Stafford","E07000197","Total",64494,6339,12472,36236,9447,34298,2160,3046,21633,7459,30196,4179,9426,14603,1988
"2011","Staffordshire Moorlands","E07000198","Total",47591,4485,9406,26672,7028,25184,1232,2137,16259,5556,22407,3253,7269,10413,1472
"2011","Tamworth","E07000199","Total",38281,3309,7292,22850,4830,20213,883,1548,13883,3899,18068,2426,5744,8967,931
"2011","North Warwickshire","E07000218","Total",31258,2687,5942,18106,4523,16475,702,1326,10962,3485,14783,1985,4616,7144,1038
"2011","Nuneaton and Bedworth","E07000219","Total",60205,4979,11885,36905,6436,31794,1394,2628,22676,5096,28411,3585,9257,14229,1340
"2011","Rugby","E07000220","Total",50485,4210,8917,30186,7172,26951,1214,1836,18353,5548,23534,2996,7081,11833,1624
"2011","Stratford-on-Avon","E07000221","Total",60765,6578,11645,32298,10244,31858,1786,2704,19396,7972,28907,4792,8941,12902,2272
"2011","Warwick","E07000222","Total",69608,7188,12096,40609,9715,36788,2364,2905,24310,7209,32820,4824,9191,16299,2506
"2011","Birmingham","E08000025","Total",423691,41824,90924,249030,41913,226740,15490,34004,146632,30614,196951,26334,56920,102398,11299
"2011","Coventry","E08000026","Total",137560,13508,27810,84060,12182,72677,5059,7776,50637,9205,64883,8449,20034,33423,2977
"2011","Dudley","E08000027","Total",141998,12833,29560,84436,15169,75348,3523,6888,52774,12163,66650,9310,22672,31662,3006
"2011","Sandwell","E08000028","Total",128630,10279,26642,80299,11410,68739,3195,7968,48517,9059,59891,7084,18674,31782,2351
"2011","Solihull","E08000029","Total",97941,9338,19110,56677,12816,50810,2768,4264,33769,10009,47131,6570,14846,22908,2807
"2011","Walsall","E08000030","Total",112270,9853,23776,66835,11806,60467,2851,6839,41366,9411,51803,7002,16937,25469,2395
"2011","Wolverhampton","E08000031","Total",104284,9587,21517,63228,9952,55426,3155,6171,38356,7744,48858,6432,15346,24872,2208
"2011","Bromsgrove","E07000234","Total",46251,4618,9227,25625,6781,23857,1347,1953,15363,5194,22394,3271,7274,10262,1587
"2011","Malvern Hills","E07000235","Total",34361,3854,7144,17833,5530,18145,1162,1798,10972,4213,16216,2692,5346,6861,1317
"2011","Redditch","E07000236","Total",42922,3732,7966,26535,4689,22723,1117,1781,16119,3706,20199,2615,6185,10416,983
"2011","Worcester","E07000237","Total",50101,5115,9884,29101,6001,26164,1624,2313,17686,4541,23937,3491,7571,11415,1460
